site	year	rep	specie	Hour
1	2	2	1	0.28125
2	2	2	1	0.291
3	2	2	1	0.312
4	2	2	1	0.312
5	2	2	1	0.320833333
6	2	2	1	0.327083333
7	2	2	1	0.336805556
8	2	2	1	0.343055556
9	2	2	1	0.353472222
10	2	2	1	0.361111111
11	2	2	1	0.382638889
12	2	2	1	0.388194444
13	2	2	1	0.402777778
14	2	2	1	0.410416667
15	2	2	1	0.416666667
16	2	2	1	0.422916667
17	2	2	1	0.43125
18	2	2	1	0.4375
19	2	2	1	0.445833333
1	3	2	1	0.291666667
2	3	2	1	0.299305556
3	3	2	1	0.305555556
4	3	2	1	0.315972222
5	3	2	1	0.320833333
6	3	2	1	0.327083333
7	3	2	1	0.336805556
8	3	2	1	0.343055556
9	3	2	1	0.353472222
10	3	2	1	0.361111111
11	3	2	1	0.382638889
12	3	2	1	0.388194444
13	3	2	1	0.402777778
14	3	2	1	0.410416667
15	3	2	1	0.416666667
16	3	2	1	0.422916667
17	3	2	1	0.43125
18	3	2	1	0.4375
19	3	2	1	0.445833333
1	4	2	1	0.28125
2	4	2	1	0.291666667
3	4	2	1	0.301388889
4	4	2	1	0.307638889
5	4	2	1	0.315972222
6	4	2	1	0.326388889
7	4	2	1	0.334722222
8	4	2	1	0.345138889
9	4	2	1	0.354166667
10	4	2	1	0.365972222
11	4	2	1	0.381944444
12	4	2	1	0.3875
13	4	2	1	0.39375
14	4	2	1	0.399305556
15	4	2	1	0.405555556
16	4	2	1	0.414583333
17	4	2	1	0.423611111
18	4	2	1	0.427777778
19	4	2	1	0.435416667
1	5	2	1	0.286111111
2	5	2	1	0.294444444
3	5	2	1	0.303472222
4	5	2	1	0.309027778
5	5	2	1	0.314583333
6	5	2	1	0.320138889
7	5	2	1	0.326388889
8	5	2	1	0.333333333
9	5	2	1	0.343055556
10	5	2	1	0.347222222
11	5	2	1	0.364583333
12	5	2	1	0.382638889
13	5	2	1	0.3875
14	5	2	1	0.393055556
15	5	2	1	0.397916667
16	5	2	1	0.403472222
17	5	2	1	0.408333333
18	5	2	1	0.414583333
19	5	2	1	0.421527778
1	6	2	1	0.291666667
2	6	2	1	0.300694444
3	6	2	1	0.306944444
4	6	2	1	0.3125
5	6	2	1	0.317361111
6	6	2	1	0.325
7	6	2	1	0.332638889
8	6	2	1	0.341666667
9	6	2	1	0.349305556
10	6	2	1	0.358333333
11	6	2	1	0.383333333
12	6	2	1	0.389583333
13	6	2	1	0.394444444
14	6	2	1	0.4
15	6	2	1	0.404861111
16	6	2	1	0.411111111
17	6	2	1	0.418055556
18	6	2	1	0.429861111
19	6	2	1	0.436111111
1	7	2	1	0.322916667
2	7	2	1	0.333333333
3	7	2	1	0.340277778
4	7	2	1	0.347222222
5	7	2	1	0.354166667
6	7	2	1	0.361111111
7	7	2	1	0.368055556
8	7	2	1	0.381944444
9	7	2	1	0.388888889
10	7	2	1	0.395833333
11	7	2	1	0.420138889
12	7	2	1	0.427083333
13	7	2	1	0.434027778
14	7	2	1	0.4375
15	7	2	1	0.444444444
16	7	2	1	0.451388889
17	7	2	1	0.458333333
18	7	2	1	0.46875
19	7	2	1	0.475694444
1	8	2	1	0.284722222
2	8	2	1	0.291666667
3	8	2	1	0.302083333
4	8	2	1	0.309027778
5	8	2	1	0.313888889
6	8	2	1	0.319444444
7	8	2	1	0.326388889
8	8	2	1	0.333333333
9	8	2	1	0.340277778
10	8	2	1	0.350694444
11	8	2	1	0.371527778
12	8	2	1	0.381944444
13	8	2	1	0.388888889
14	8	2	1	0.395833333
15	8	2	1	0.402777778
16	8	2	1	0.409722222
17	8	2	1	0.416666667
18	8	2	1	0.427083333
19	8	2	1	0.434027778
1	9	2	1	0.284722222
2	9	2	1	0.291666667
3	9	2	1	0.302083333
